periodo_denuncia;anio_denuncia;fecha_descarga;distrito_fiscal;especialidad;tipo_caso;generico;subgenerico;articulo;des_articulo;cantidad;ubigeo_pjfs;dpto_pjfs;prov_pjfs;dist_pjfs;fecha_corte
ENERO - DICIEMBRE;2022;6/01/2023;AMAZONAS;PENAL;DENUNCIA;CONTRA EL HONOR;CONTRA EL HONOR (Sin especificar delito subgenérico);S/Art;CONTRA EL HONOR;4;10101;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;15/06/2023
ENERO - DICIEMBRE;2022;6/01/2023;AMAZONAS;PENAL;DENUNCIA;CONTRA EL HONOR;INJURIA CALUMNIA Y DIFAMACION;130;Injuria;1;10101;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;15/06/2023
ENERO - DICIEMBRE;2022;6/01/2023;AMAZONAS;PENAL;DENUNCIA;CONTRA EL HONOR;INJURIA CALUMNIA Y DIFAMACION;131;Calumnia;4;10101;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;15/06/2023
ENERO - DICIEMBRE;2022;6/01/2023;AMAZONAS;PENAL;DENUNCIA;CONTRA EL HONOR;INJURIA CALUMNIA Y DIFAMACION;132;Difamación;7;10101;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;15/06/2023
ENERO - DICIEMBRE;2022;6/01/2023;AMAZONAS;PENAL;DENUNCIA;CONTRA EL HONOR;INJURIA CALUMNIA Y DIFAMACION;S/Art;INJURIA  CALUMNIA Y DIFAMACIÓN;1;10101;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;15/06/2023
ENERO - DICIEMBRE;2022;6/01/2023;AMAZONAS;PENAL;DENUNCIA;CONTRA EL ORDEN ECONOMICO;CONTRA EL ORDEN ECONOMICO (Sin especificar delito subgenérico);S/Art;DELITOS CONTRA EL ORDEN ECONÓMICO;1;10101;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;15/06/2023
ENERO - DICIEMBRE;2022;6/01/2023;AMAZONAS;PENAL;DENUNCIA;CONTRA EL ORDEN ECONOMICO;VENTA ILICITA DE MERCADERIAS;237;Venta ilegal de mercaderías;1;10101;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;15/06/2023
ENERO - DICIEMBRE;2022;6/01/2023;AMAZONAS;PENAL;DENUNCIA;CONTRA EL ORDEN FINANCIERO Y MONETARIO;DELITOS FINANCIEROS;246;Instituciones financieras ilegales;1;10101;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;15/06/2023
ENERO - DICIEMBRE;2022;6/01/2023;AMAZONAS;PENAL;DENUNCIA;CONTRA EL ORDEN FINANCIERO Y MONETARIO;DELITOS FINANCIEROS;S/Art;DELITOS FINANCIEROS;1;10101;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;15/06/2023
ENERO - DICIEMBRE;2022;6/01/2023;AMAZONAS;PENAL;DENUNCIA;CONTRA EL ORDEN FINANCIERO Y MONETARIO;DELITOS MONETARIOS;252;Fabricación y falsificación de moneda de curso legal;2;10101;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;15/06/2023
ENERO - DICIEMBRE;2022;6/01/2023;AMAZONAS;PENAL;DENUNCIA;CONTRA EL ORDEN FINANCIERO Y MONETARIO;DELITOS MONETARIOS;254;Tráfico de moneda falsa;5;10101;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;15/06/2023
ENERO - DICIEMBRE;2022;6/01/2023;AMAZONAS;PENAL;DENUNCIA;CONTRA EL ORDEN FINANCIERO Y MONETARIO;DELITOS MONETARIOS;257-A;Formas agravadas;2;10101;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;15/06/2023
ENERO - DICIEMBRE;2022;6/01/2023;AMAZONAS;PENAL;DENUNCIA;CONTRA EL PATRIMONIO;ABIGEATO;189-A;Hurto de ganado;38;10101;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;15/06/2023
ENERO - DICIEMBRE;2022;6/01/2023;AMAZONAS;PENAL;DENUNCIA;CONTRA EL PATRIMONIO;ABIGEATO;189-B;Hurto de uso de ganado;9;10101;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;15/06/2023
ENERO - DICIEMBRE;2022;6/01/2023;AMAZONAS;PENAL;DENUNCIA;CONTRA EL PATRIMONIO;ABIGEATO;189-C;Robo de ganado ;1;10101;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;15/06/2023
ENERO - DICIEMBRE;2022;6/01/2023;AMAZONAS;PENAL;DENUNCIA;CONTRA EL PATRIMONIO;ABIGEATO;S/Art;ABIGEATO;1;10101;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;15/06/2023
ENERO - DICIEMBRE;2022;6/01/2023;AMAZONAS;PENAL;DENUNCIA;CONTRA EL PATRIMONIO;APROPIACION ILICITA;190;Apropiación ilícita común;48;10101;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;15/06/2023
ENERO - DICIEMBRE;2022;6/01/2023;AMAZONAS;PENAL;DENUNCIA;CONTRA EL PATRIMONIO;APROPIACION ILICITA;192;Apropiación irregular;6;10101;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;15/06/2023
ENERO - DICIEMBRE;2022;6/01/2023;AMAZONAS;PENAL;DENUNCIA;CONTRA EL PATRIMONIO;APROPIACION ILICITA;S/Art;APROPIACIÓN ILÍCITA;32;10101;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;15/06/2023
